model,y,term,estimate,std.error,statistic,p.value,p.adj,sig,component,alpha.adj,ci.lower,ci.upper,AIC,min,BIC,pseudoR2,max
fractional_logit,References,n_authors_log,-0.7055669645769154,0.29405277902173954,-2.399456882958934,0.016419413410989497,0.08209706705494749,,NA,0.01,-1.4629967295711013,0.05186280041727054,22.543653582607487,1,25.3460483459318,0.1330234338481141,1
fractional_logit,References,n_countries_log,-0.5087835604245551,0.36325561462016304,-1.4006213254447915,0.16132734040989968,0.8066367020494984,,NA,0.01,-1.4444680172418374,0.4269008963927271,24.520555634838228,1,27.32295039816254,0.07942823380408763,0
fractional_logit,References,n_samples_log,-0.028055377576118704,0.3313100647811746,-0.08468012462781313,0.9325156974524831,1,,NA,0.01,-0.8814535510001527,0.8253427958479151,24.316197942655084,1,27.118592705979395,2.1756298355886733e-4,1
fractional_logit,References,year_publication,0.6441079323797484,0.355500652752018,1.8118333324947522,0.07001195304164394,0.3500597652082197,,NA,0.01,-0.2716010664096614,1.5598169311691583,23.334846185292275,1,26.137240948616586,0.0993343058492436,1
fractional_logit,Sample_chronology,arch_index,0.012394466318326549,0.3332244926446238,0.03719554412089678,0.9703290914320223,1,,NA,0.01,-0.8459349464959103,0.8707238791325633,23.684447238443067,1,26.48684200176738,1.4720601234855211e-5,0
fractional_logit,Sample_chronology,n_authors_log,0.7812076595074197,0.7440212306857529,1.0499803329367263,0.29372715505836733,1,,NA,0.01,-1.1352640289554587,2.697679347970298,22.433390516254622,1,25.235785279578934,0.04456097933112468,1
fractional_logit,Sample_chronology,n_countries_log,0.40144522985945186,0.9725492566800562,0.4127762445984955,0.6797705575632425,1,,NA,0.01,-2.1036756446417377,2.9065661043606412,23.530624657687756,1,26.333019421012068,0.012297959083482073,0
fractional_logit,Sample_chronology,n_samples_log,0.43144473120577853,0.3386279336034516,1.2740966954929935,0.20262914940970445,1,,NA,0.01,-0.44080302317020337,1.3036924855817604,22.994407640569538,1,25.79680240389385,0.020779837681202555,0
fractional_logit,Sample_chronology,year_publication,3.028632819479422,1.305574887754576,2.3197695114129284,0.020353349228095837,0.10176674614047919,,NA,0.01,-0.33430523437638104,6.391570873335225,15.802337942062207,1,18.604732705386517,0.20764985978791214,0
fractional_logit,Site_description,arch_index,-0.6316283287016654,0.28871149938750645,-2.187749119940313,0.02868788192556827,0.14343940962784135,,NA,0.01,-1.375299869095545,0.11204321169221398,12.740782387193097,1,15.543177150517408,0.025563656293266374,1
fractional_logit,Site_description,n_authors_log,-0.6518556778549287,0.23080110666941475,-2.8243178174557304,0.004738137610772634,0.02369068805386317,*,NA,0.01,-1.2463599317055225,-0.057351424004334794,12.731526875240776,1,15.533921638565086,0.03809150815231356,1
fractional_logit,Site_description,n_countries_log,-1.2497355673899104,0.5638017095161788,-2.2166225222381097,0.0266488972012828,0.133244486006414,,NA,0.01,-2.701992532152649,0.2025213973728277,10.704198065266532,1,13.506592828590843,0.14396380163015385,0
fractional_logit,Site_description,n_samples_log,-0.351883287816724,0.2119483863920598,-1.6602310298593836,0.09686798453578188,0.4843399226789094,,NA,0.01,-0.8978261523252966,0.19405957669184853,13.096463505679376,1,15.898858269003686,0.0089468892747811,1
fractional_logit,Site_description,year_publication,0.9179437337886309,0.36516144382615134,2.5138024545265303,0.011943731475507076,0.05971865737753538,,NA,0.01,-0.022649813744995195,1.8585372813222572,12.172862872611685,1,14.975257635935996,0.05674953860196728,1
xbx,Anthropological_age,arch_index,-0.17773230102791138,0.26857499240007926,-0.6617604246755586,0.5081247728519672,1,,mu,0.01,-0.8695356366524586,0.5140710345966358,49.579006029808376,0,55.183795556457,0.004727574711646389,1
xbx,Anthropological_age,n_authors_log,-0.22416145137304472,0.2491610166918745,-0.8996650212350613,0.3682985433815123,1,,mu,0.01,-0.8659576994700116,0.4176347967239222,49.21614724428454,0,54.820936770933166,0.04456651715905275,1
xbx,Anthropological_age,n_countries_log,-0.22731729848544244,0.2589973701357781,-0.8776818790332599,0.3801163810758337,1,,mu,0.01,-0.8944503140232805,0.4398157170523955,49.24101285027134,0,54.84580237691996,0.010364915136845818,0
xbx,Anthropological_age,n_samples_log,-0.23849906449015024,0.25277117978957986,-0.9435374107471014,0.34540608922266425,1,,mu,0.01,-0.8895944764847775,0.41259634750447705,49.13846477623187,0,54.743254302880494,0.04193141859999493,0
xbx,Anthropological_age,year_publication,0.01328404544018417,0.26485307450495565,0.050156281798932306,0.9599978497470038,1,,mu,0.01,-0.6689322650047007,0.695500355885069,50.01771470090345,0,55.62250422755207,9.826540607606506e-6,0
xbx,Anthropological_sex,arch_index,0.08931943487020567,0.2592132198877295,0.3445790107035889,0.7304108874770868,1,,mu,0.01,-0.5783695727838725,0.7570084425242838,46.257774747847904,0,51.86256427449653,0.011535915976688625,1
xbx,Anthropological_sex,n_authors_log,-0.2913153253773627,0.24947082356849049,-1.1677330487402031,0.24291446155642074,1,,mu,0.01,-0.933909583105558,0.35127893235083263,45.024511404948406,0,50.62930093159703,0.07190596807035053,0
xbx,Anthropological_sex,n_countries_log,-0.14087155154682343,0.25730874422730743,-0.5474806228208747,0.5840485793589101,1,,mu,0.01,-0.8036549549868908,0.521911851893244,46.075963933047426,0,51.68075345969605,0.007046894532236638,0
xbx,Anthropological_sex,n_samples_log,0.030639433460631756,0.25042410611928767,0.12235017600916138,0.9026216957463572,1,,mu,0.01,-0.6144103173964688,0.6756891843177324,46.36139701388527,0,51.96618654053389,0.0015423764895877877,0
xbx,Anthropological_sex,year_publication,0.23825277364452593,0.26219711654960914,0.9086780845640886,0.3635200756486497,1,,mu,0.01,-0.43712224246998355,0.9136277897590354,45.54341118897512,0,51.148200715623744,0.011364284797539145,0
xbx,Body_arrangement,arch_index,0.18776124684515047,0.23615956376840666,0.7950609488306868,0.4265780491971548,1,,mu,0.01,-0.42054547782283647,0.7960679715131375,35.5689538426862,0,41.17374336933482,0.04245961179112307,0
xbx,Body_arrangement,n_authors_log,-0.08468557330812237,0.2368150234209636,-0.35760219974551555,0.7206410318772171,1,,mu,0.01,-0.6946806501564595,0.5253095035402147,36.07742342053072,0,41.68221294717934,0.03383691032656743,1
xbx,Body_arrangement,n_countries_log,-0.1356273224065497,0.24605689116000945,-0.5512031049695414,0.5814944518218899,1,,mu,0.01,-0.7694278729966444,0.4981732281835449,35.902925741424575,0,41.5077152680732,0.0531237698676085,1
xbx,Body_arrangement,n_samples_log,0.2548314160132645,0.2517051341944822,1.0124204133888135,0.31133708207013755,1,,mu,0.01,-0.393518044498591,0.9031808765251199,35.11132541133644,0,40.716114937985054,0.011422628714341783,1
xbx,Body_arrangement,year_publication,0.41389911334283686,0.23120476027196885,1.7901842196326863,0.0734243010916029,0.36712150545801453,,mu,0.01,-0.181644883285699,1.0094431099713728,32.857470044994315,0,38.46225957164293,0.09808307025887442,0
xbx,Body_positioning,arch_index,0.26522314977294925,0.23400280550985353,1.133418675024309,0.25703847529038315,1,,mu,0.01,-0.33752813377198543,0.8679744333178839,33.6108143451877,1,39.21560387183632,0.048780732057034336,0
xbx,Body_positioning,n_authors_log,-0.14756063343201284,0.23721408061182253,-0.6220568064569543,0.5339045155431161,1,,mu,0.01,-0.7585836134863563,0.46346234662233055,34.57087944438271,1,40.175668971031335,0.04367196536360124,1
xbx,Body_positioning,n_countries_log,-0.1088128768662925,0.23950975560980842,-0.4543150093792521,0.6496021145565679,1,,mu,0.01,-0.7257491238518725,0.5081233701192875,34.749306547921954,1,40.35409607457058,0.03291731672599551,1
xbx,Body_positioning,n_samples_log,0.22259003955332676,0.24371000307232152,0.9133397757468028,0.36106386898053044,1,,mu,0.01,-0.40516532792835136,0.8503454070350049,34.10182853106545,1,39.706618057714074,0.002848144500426264,0
xbx,Body_positioning,year_publication,0.4217280891208445,0.23907438348032636,1.7640036668987116,0.07773136182941696,0.38865680914708484,,mu,0.01,-0.1940867135756672,1.0375428918173561,31.69470329038712,1,37.29949281703574,0.05792400982903706,0
xbx,C14,arch_index,-0.03060260717272399,0.11282745438879291,-0.2712336934171204,0.786211300314173,1,,mu,0.01,-0.3212268704322037,0.2600216560867557,40.66259988719087,1,46.267389413839496,8.488707061088668e-4,0
xbx,C14,n_authors_log,0.056353445492744,0.12007059063002105,0.46933595643239917,0.6388295179310863,1,,mu,0.01,-0.2529279003464882,0.36563479133197624,40.48832534473358,1,46.093114871382205,0.011717386433140513,0
xbx,C14,n_countries_log,0.09662283406880083,0.11048175718801533,0.8745591718311495,0.3818138109764892,1,,mu,0.01,-0.18795931360366336,0.38120498174126505,39.76546442011838,1,45.370253946767,0.02529748646471051,0
xbx,C14,n_samples_log,-0.17925755078358416,0.1691261770052505,-1.0599042321994845,0.2891881700720016,1,,mu,0.01,-0.6148977135109066,0.25638261194373824,38.476087033785504,1,44.08087656043413,0.05374237880221999,0
xbx,C14,year_publication,-0.09374813600197614,0.12445531806740288,-0.7532674172364715,0.451289234218583,1,,mu,0.01,-0.4143237912624913,0.22682751925853906,40.03313532607668,1,45.637924852725305,0.010572931816534738,0
xbx,Culture,arch_index,0.500406616703727,0.2508416858043759,1.9949101167099457,0.04605268393676697,0.23026341968383485,,mu,0.01,-0.1457187481427905,1.1465319815502446,48.79436466962397,0,54.39915419627259,0.11805283127272558,0
xbx,Culture,n_authors_log,-0.24138217448643876,0.23022760919467306,-1.0484501634308063,0.29443125206143644,1,,mu,0.01,-0.8344091967360817,0.35164484776320426,51.961378506696015,0,57.56616803334464,0.03805351480231296,1
xbx,Culture,n_countries_log,-0.10289053182346157,0.23178600212162054,-0.44390312996327463,0.6571126215231899,1,,mu,0.01,-0.6999317082407792,0.4941506445938561,52.87283706768699,0,58.47762659433561,0.002773113438429367,0
xbx,Culture,n_samples_log,0.24131845672730295,0.2430887598246168,0.9927174621377348,0.32084766267898795,1,,mu,0.01,-0.38483669419230554,0.8674736076469114,52.083234666438635,0,57.68802419308726,0.028102515724315092,1
xbx,Culture,year_publication,0.29688313433893954,0.24858514193726824,1.194291549467826,0.23236394207800104,1,,mu,0.01,-0.3434297586899385,0.9371960273678176,51.58528330971261,0,57.19007283636123,0.03097363133851641,1
xbx,Geolocation,arch_index,0.4255536306547508,0.3502853197623124,1.2148771491294925,0.22441295032891137,1,,mu,0.01,-0.4767215605920101,1.3278288219015117,51.53455632277303,0,57.13934584942165,0.10131190519413417,0
