aDNAID,CitationID,Country,Resampled,Site description,Multiple names,Geolocation,Overall chronology,Sample chronology,References,Culture,IndividualID,Anthropological sex,Anthropological age,Grave,Body positioning,Body arrangement,Grave goods,14C,Images,notes,...22
"I4886/Grave 8, feature 541",olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,0.5,1.3,0,1.2,1.1,1.2,1,0,NA,NA
"I4887/Grave 9, feature 542",olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,1,1.3,1,1.2,1.1,1.2,1,0,NA,NA
"I4888/Grave 10, feature 543",olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,1,1.3,0,1.2,1.1,1.2,1,0,NA,NA
"I4889/Grave 11, feature 544",olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,1,1.1,0,1.2,1.1,1.1,1,0,NA,NA
I4890/Grave 12: feature 545,olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,1,1.1,0,1.2,1.1,1.2,0,0,NA,NA
"I4891/Grave 13, feature 546",olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,1,1.1,0,1.2,1.1,1.2,1,0,NA,NA
"I4893/feature 552, Grave 17",olald2018a,Czech Republic,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,NA,NA
"I4894/feature 552, Grave 18",olald2018a,Czech Republic,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,NA,NA
I4895/Grave 3/Feature 502/07,olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,1,1.3,0,1.2,1.1,1.2,1,0,NA,NA
I4896/Grave 5/Feature 505/07,olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,1,1.3,0,1.2,1.1,1.2,0,0,NA,NA
"I4945/Grave 14, feature 547",olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,1,1.1,0,1.2,1.1,1.1,1,0,NA,NA
I4946/Grave 1/Feature 500/07,olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,1,1.3,0,1.2,1.1,1.2,1,0,NA,NA
I4947/Grave 4/Feature 504/07,olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,1,1.3,0,1.2,1.1,1.2,0,0,NA,NA
"I5037/RISE579, F0579, gr. 27",olald2018a,Czech Republic,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,NA
"I5042/RISE584, F0591, gr. 8",olald2018a,Czech Republic,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,NA
"I5043/RISE585, F0593, gr. 81",olald2018a,Czech Republic,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,NA
"I5044/RISE586, F0597, gr. 6",olald2018a,Czech Republic,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,NA
I6468/F0553/grave 188,olald2018a,Czech Republic,0,1,0,1,1,1,1,1,1,0.5,1.1,0,1.2,1.1,1,0,0,NA,NA
